z_m,O2_M,Fe2_M,Fe3_M,SO4_M,H_M,pH,z_norm,O2_shape,Fe2_shape,Fe3_shape,SO4_shape,H_shape
0.0,0.00026283052,0.00012401755,7.069504e-05,0.004396058,0.006559474,2.183131,0.0,0.0,0.0,0.0,0.0,0.0
0.025125628,0.00026404916,0.0001403798,7.069349e-05,0.0044128415,0.0065627024,2.1829174,0.0050251256,0.0,0.09024864550501925,0.0,0.06338218055698232,0.03882589082232869
0.050251257,0.0002667725,0.0001563833,7.069923e-05,0.004429533,0.006565239,2.1827495,0.0100502514,0.0,0.17851854715910576,0.010236489787928715,0.12641692699049503,0.06933194789700584
0.07537688,0.0002702012,0.00017169864,7.070771e-05,0.0044455593,0.0065675685,2.1825955,0.015075375999999998,0.0,0.2629927906432747,0.030953776995973667,0.18693957365301045,0.09734734644446595
0.10050251,0.00027303843,0.00018617006,7.071539e-05,0.004460702,0.006569876,2.182443,0.020100502,0.0,0.3428122563973271,0.049716603146683996,0.24412534214708298,0.12509816513871302
0.12562814,0.0002734648,0.00019975852,7.072052e-05,0.004474935,0.0065721767,2.1822908,0.025125628,0.0,0.41776161296498343,0.06224958467700986,0.29787566692245854,0.15276720460560883
0.15075377,0.0002692134,0.00021247941,7.072322e-05,0.004488289,0.0065744263,2.182142,0.030150754000000002,0.0,0.48792574638907515,0.06884589074560939,0.3483064852355608,0.17982169723165248
0.1758794,0.00025788657,0.0002243567,7.072482e-05,0.004500784,0.006576571,2.1820004,0.03517588,0.01881374096351751,0.5534368670949873,0.07275481286034485,0.39549332624366185,0.20561462501217298
0.20100503,0.00023764184,0.00023539891,7.072688e-05,0.004512407,0.006578573,2.1818683,0.040201006,0.09585317422970115,0.6143419685255349,0.07778755008304357,0.4393870959945386,0.22969139165394595
0.22613065,0.00020818392,0.00024559436,7.073021e-05,0.0045231325,0.006580407,2.1817472,0.045226129999999996,0.2079525433988913,0.6705766277450279,0.08592299423432516,0.479891494812656,0.25174773032577946
0.2512563,0.00017161274,0.00025491792,7.0734655e-05,0.00453294,0.0065820715,2.1816373,0.05025126,0.34712076056333824,0.7220022361598107,0.0967824684843155,0.5169291053118144,0.2717656014922268
0.2763819,0.00013235048,0.0002633416,7.07394e-05,0.004541829,0.0065835905,2.1815372,0.05527638,0.4965296318671074,0.7684644103820428,0.10837486563080218,0.5504980392630762,0.29003363772042645
0.30150753,9.566998e-05,0.00027084514,7.0743714e-05,0.0045498,0.006584996,2.1814444,0.060301506000000005,0.6361138561032544,0.8098514030934814,0.1189142968826368,0.5806001848953756,0.30693668243321975
0.32663316,6.552391e-05,0.00027742615,7.074737e-05,0.0045568603,0.0065863198,2.1813571,0.065326632,0.7508319159639048,0.8461500318612233,0.1278461839147901,0.6072631103511195,0.32285717378205414
0.3517588,4.3279644e-05,0.00028310696,7.0750575e-05,0.0045630354,0.006587576,2.1812744,0.07035176,0.8354803971272613,0.8774834614244782,0.13567624352585383,0.630583115305833,0.3379646834001422
0.37688443,2.8121576e-05,0.00028793846,7.075376e-05,0.00456837,0.0065887626,2.1811962,0.075376886,0.893163012214263,0.9041323838378078,0.14345744161048007,0.6507290074260282,0.35223515857352705
0.40201005,1.8291421e-05,0.0002919969,7.075725e-05,0.00457295,0.0065898746,2.1811228,0.08040201,0.9305707509254606,0.9265173683517586,0.15198377797322857,0.6680251844422024,0.3656084675174104
0.42713568,1.2063364e-05,0.00029537646,7.0761125e-05,0.00457687,0.0065909047,2.181055,0.085427136,0.9542710414025125,0.9451578800419564,0.16145069871981627,0.6828288992682744,0.37799681782594113
0.4522613,8.131639e-06,0.000298178,7.076535e-05,0.0045802374,0.0065918616,2.180992,0.09045225999999999,0.969232854464899,0.9606102286082071,0.17177269617902716,0.6955457434788131,0.3895048388047256
0.47738695,5.6256604e-06,0.00030049987,7.076976e-05,0.0045831446,0.006592755,2.180933,0.09547739,0.978769122477423,0.9734168794379364,0.18254666275773532,0.7065246617804343,0.4002491861162856
0.5025126,4.0002133e-06,0.00030243103,7.07742e-05,0.004585674,0.0065936,2.1808774,0.10050252,0.9849546099296221,0.9840685058495531,0.19339392162609972,0.7160768343011124,0.410411457750802
0.5276382,2.922807e-06,0.0003040477,7.0778566e-05,0.004587888,0.0065944092,2.180824,0.10552763999999999,0.9890545791931992,0.9929855116237344,0.20406039284665198,0.7244379120115532,0.42014318580600923
0.5527638,2.1917715e-06,0.00030541234,7.0782764e-05,0.0045898426,0.0065951953,2.1807723,0.11055276,0.991836466658108,1.0,0.21431642724517558,0.7318193765521259,0.4295971050153542
0.57788944,1.6839386e-06,0.00030657498,7.0786766e-05,0.004591581,0.006595965,2.1807218,0.11557788799999999,0.9937689774305372,1.0,0.2240936186846381,0.7383843709025432,0.43885379197047575
0.60301507,1.3230089e-06,0.00030757464,7.079061e-05,0.0045931404,0.0065967217,2.180672,0.120603014,0.9951424617663092,1.0,0.2334848040652576,0.7442733792953434,0.4479541362850756
0.6281407,1.0608743e-06,0.0003084417,7.07943e-05,0.0045945523,0.0065974677,2.1806228,0.12562814,0.9961399905564415,1.0,0.24249975569234802,0.7496053601532324,0.45692579858016447
0.6532663,8.666036e-07,0.00030919944,7.0797905e-05,0.0045958436,0.006598205,2.1805742,0.13065326,0.9968792695998384,1.0,0.2513070458320956,0.7544819001927499,0.4657928315696681
0.678392,7.1990394e-07,0.0003098659,7.080146e-05,0.0045970385,0.006598929,2.1805265,0.1356784,0.997437521483995,1.0,0.2599921821557495,0.758994389694198,0.47449991401154396
0.7035176,6.0719685e-07,0.0003104551,7.0805014e-05,0.0045981556,0.0065996437,2.1804795,0.14070352,0.9978664178110233,1.0,0.2686748754030914,0.7632130707738409,0.48309515133366415
0.72864324,5.1922297e-07,0.00031097815,7.080858e-05,0.004599209,0.006600344,2.1804335,0.14572864800000002,0.9982011942124586,1.0,0.277386885566309,0.7671911914875618,0.49151720911549696
0.75376886,4.495463e-07,0.00031144358,7.08122e-05,0.004600213,0.0066010333,2.180388,0.150753772,0.9984663422864845,1.0,0.2862308218508682,0.7709827551828098,0.4998069769707232
0.7788945,3.936211e-07,0.00031185863,7.081591e-05,0.004601176,0.006601708,2.1803436,0.1557789,0.9986791604230216,1.0,0.2952946350043961,0.7746194841056452,0.5079211600142893
0.8040201,3.4818152e-07,0.0003122291,7.081969e-05,0.004602106,0.0066023692,2.1803002,0.16080402,0.9988520765098775,1.0,0.3045294635004222,0.7781315899189721,0.5158729872388341
0.8291457,3.108445e-07,0.0003125597,7.0823575e-05,0.004603008,0.0066030156,2.1802576,0.16582913999999999,0.998994159059788,1.0,0.3140208150102618,0.7815379549121129,0.5236468243803043
0.85427135,2.798476e-07,0.00031285465,7.082753e-05,0.004603886,0.0066036484,2.180216,0.17085427,0.9991121148739187,1.0,0.3236831818625995,0.7848536849165244,0.5312571030670824
0.879397,2.5386967e-07,0.00031311734,7.083159e-05,0.0046047433,0.0066042654,2.1801755,0.1758794,0.9992109714654677,1.0,0.33360207172871753,0.7880912422431566,0.5386773653138179
0.9045226,2.3190753e-07,0.0003133509,7.083572e-05,0.0046055824,0.0066048703,2.1801357,0.18090451999999999,0.9992945463424313,1.0,0.34369197693736686,0.7912600680366639,0.5459521086412977
0.9296482,2.1319103e-07,0.00031355786,7.083993e-05,0.0046064034,0.00660546,2.1800969,0.18592964,0.9993657702388589,1.0,0.35397732825173306,0.7943605399428412,0.5530440513429157
0.9547739,1.9712135e-07,0.00031374066,7.084417e-05,0.004607209,0.0066060387,2.180059,0.19095478,0.9994269219084525,1.0,0.36433597185575556,0.7974028543979125,0.5600037041179377
0.9798995,1.8322955e-07,0.00031390143,7.084847e-05,0.0046079983,0.0066066044,2.1800218,0.1959799,0.9994797858586779,1.0,0.37484120003909055,0.8003836125898043,0.5668070142524377
1.0050251,1.7114425e-07,0.00031404186,7.08528e-05,0.0046087727,0.0066071567,2.1799853,0.20100501999999998,0.9995257753415138,1.0,0.38541972051204865,0.8033081015595277,0.5734491712036082
1.0301508,1.605683e-07,0.00031416383,7.085714e-05,0.0046095336,0.0066076987,2.1799498,0.20603016,0.9995660211335915,1.0,0.39602267174825867,0.8061816083480872,0.5799674566780548
1.0552764,1.5126237e-07,0.0003142688,7.086149e-05,0.0046102763,0.0066082287,2.179915,0.21105527999999998,0.9996014339829215,1.0,0.4066500537476874,0.8089863836035251,0.586341425868927
1.080402,1.4303248e-07,0.00031435816,7.0865826e-05,0.004611005,0.006608746,2.1798809,0.2160804,0.9996327520623152,1.0,0.41724323267858343,0.8117382884488716,0.5925626603263731
1.1055276,1.357197e-07,0.00031443316,7.087016e-05,0.00461172,0.0066092545,2.1798475,0.22110552,0.9996605801650756,1.0,0.42783152545685554,0.8144384558214844,0.5986780628425213
1.1306533,1.291931e-07,0.00031449494,7.087446e-05,0.004612419,0.0066097514,2.1798148,0.22613066,0.999685416533116,1.0,0.43833675364019054,0.817078199868279,0.6046539596178927
1.1557789,1.2334385e-07,0.0003145446,7.0878734e-05,0.0046131024,0.0066102394,2.1797829,0.23115578,0.9997076753088582,1.0,0.44877846183915016,0.8196590311723946,0.6105228218162853
1.1809045,1.18081516e-07,0.00031458307,7.0882954e-05,0.004613772,0.0066107176,2.1797514,0.2361809,0.9997277006304612,1.0,0.4590882439167351,0.8221877473579917,0.6162738257164329
1.2060301,1.1333029e-07,0.00031461127,7.088714e-05,0.0046144277,0.0066111856,2.1797206,0.24120602,0.9997457809782041,1.0,0.46931496139938295,0.824663970779279,0.6219021607755483
1.2311558,1.0902563e-07,0.00031463,7.089125e-05,0.0046150694,0.0066116457,2.1796904,0.24623116,0.9997621619606525,1.0,0.47935600508159476,0.827087323790478,0.627435487614653
1.2562814,1.05113514e-07,0.0003146399,7.08953e-05,0.004615695,0.0066120964,2.1796608,0.25125628,0.999777049153493,1.0,0.489250464184494,0.8294498758300672,0.6328557666982895
1.281407,1.0154692e-07,0.0003146419,7.08993e-05,0.004616308,0.006612538,2.1796317,0.2562814,0.999790621494564,1.0,0.4990227694712996,0.8317648445005728,0.6381666059335639
1.3065326,9.828651e-08,0.00031463645,7.0903225e-05,0.0046169073,0.0066129714,2.1796033,0.26130652,0.9998030286809584,1.0,0.5086118440340142,0.8340280756983415,0.6433788290417214
1.3316582,9.529811e-08,0.00031462417,7.090708e-05,0.004617493,0.006613397,2.1795754,0.26633164,0.9998144007586485,1.0,0.5180299032541643,0.836239947069168,0.64849724656557
1.356784,9.255196e-08,0.00031460574,7.091086e-05,0.0046180654,0.006613815,2.179548,0.2713568,0.9998248509765404,1.0,0.5272647317502235,0.8384015915504037,0.653524263776493
1.3819096,9.00225e-08,0.0003145814,7.091456e-05,0.004618625,0.006614226,2.179521,0.27638192,0.999834476600832,1.0,0.5363041141405327,0.8405148973709827,0.6584670964886605
1.4070352,8.7687326e-08,0.00031455178,7.091819e-05,0.0046191732,0.0066146296,2.1794944,0.28140704,0.9998433628878579,1.0,0.5451724811883106,0.8425851515719128,0.6633209341592962
1.4321609,8.5527056e-08,0.00031451735,7.092175e-05,0.004619708,0.0066150255,2.1794684,0.28643218,0.999851583594012,1.0,0.5538698328935904,0.8446048012374706,0.6680821688813144
1.4572865,8.3524604e-08,0.00031447835,7.092521e-05,0.0046202317,0.006615414,2.179443,0.2914573,0.9998592037384755,1.0,0.5623228769666827,0.8465825322207374,0.6727544085618007
1.4824121,8.166451e-08,0.00031443528,7.092861e-05,0.0046207444,0.0066157975,2.1794178,0.29648241999999997,0.9998662821528372,1.0,0.5706293364604624,0.8485187221675047,0.6773665164574677
1.5075377,7.9933756e-08,0.0003143884,7.093192e-05,0.0046212464,0.0066161742,2.179393,0.30150754,0.9998728683758832,1.0,0.5787159190853065,0.8504145040151303,0.681896845125773
1.5326633,7.832072e-08,0.0003143379,7.0935166e-05,0.0046217376,0.0066165444,2.1793687,0.30653266,0.9998790066340509,1.0,0.5866461448255572,0.8522695001178262,0.6863490024738226
1.557789,7.68147e-08,0.00031428438,7.093833e-05,0.0046222196,0.0066169086,2.179345,0.3115578,0.9998847376528043,1.0,0.5943760383074339,0.8540897528081731,0.6907290016800746
1.5829146,7.540633e-08,0.00031422783,7.0941416e-05,0.0046226913,0.0066172676,2.1793213,0.31658292,0.9998900970735833,1.0,0.6019153718362177,0.8558711079825245,0.695046463830124
1.6080402,7.408763e-08,0.00031416854,7.0944436e-05,0.004623155,0.0066176224,2.179298,0.32160804,0.9998951152635345,1.0,0.6092934623277511,0.8576222514939683,0.6993134152809287
1.6331658,7.285066e-08,0.00031410687,7.094737e-05,0.0046236077,0.0066179703,2.1792753,0.32663316,0.9998998224375876,1.0,0.6164614482556297,0.859331853968906,0.7034973848686696
1.6582915,7.168914e-08,0.0003140429,7.095024e-05,0.004624054,0.0066183135,2.1792526,0.3316583,0.9999042424936975,1.0,0.623473077298948,0.8610172871135171,0.7076248305786974
1.6834171,7.059696e-08,0.00031397684,7.0953036e-05,0.004624491,0.006618652,2.1792305,0.33668342,0.9999083986828994,1.0,0.630303918694421,0.8626675991999943,0.7116957524109807
1.7085427,6.956849e-08,0.00031390894,7.095578e-05,0.004624921,0.006618986,2.1792085,0.34170854,0.9999123124296342,1.0,0.6370077201211765,0.8642914760814258,0.7157125556369339
1.7336683,6.859914e-08,0.00031383926,7.095845e-05,0.0046253433,0.0066193156,2.1791868,0.34673366,0.9999160012007184,1.0,0.6435307339001197,0.8658862742373076,0.7196764428922383
1.758794,6.7684276e-08,0.0003137681,7.0961054e-05,0.0046257577,0.0066196406,2.1791656,0.3517588,0.999919482630408,1.0,0.6498925046418458,0.8674512383760635,0.7235850089055106
1.7839196,6.6820014e-08,0.00031369537,7.0963586e-05,0.004626167,0.0066199624,2.1791444,0.35678392,0.9999227714989022,1.0,0.6560783738883835,0.8689969425797124,0.7274550905765061
1.8090452,6.6002585e-08,0.00031362145,7.096607e-05,0.00462657,0.00662028,2.1791236,0.36180903999999997,0.9999258821487799,1.0,0.6621469754715176,0.8705188550988227,0.7312746615482464
1.8341708,6.522874e-08,0.00031354636,7.09685e-05,0.0046269656,0.0066205934,2.1791031,0.36683416,0.9999288269438071,1.0,0.668083650933244,0.8720128218297379,0.7350437218207417
1.8592964,6.449526e-08,0.00031347008,7.097085e-05,0.004627356,0.006620904,2.1790826,0.37185928,0.9999316181335891,1.0,0.6738248802892534,0.8734871509797646,0.7387791082937372
1.8844222,6.379953e-08,0.000313393,7.097316e-05,0.004627741,0.0066212104,2.1790626,0.37688444,0.9999342656692641,1.0,0.6794683865923877,0.8749410872573264,0.7424639840674773
1.9095478,6.313912e-08,0.000313315,7.097542e-05,0.004628122,0.006621515,2.1790426,0.38190956,0.9999367787979709,1.0,0.6849897390794615,0.8763799177034312,0.7461272123986854
1.9346734,6.251152e-08,0.00031323623,7.097762e-05,0.0046284962,0.006621816,2.1790228,0.38693468000000003,0.9999391670712803,1.0,0.6903645069871897,0.8777930682360632,0.7497471458448295
1.959799,6.191465e-08,0.00031315675,7.0979775e-05,0.004628867,0.006622114,2.1790032,0.3919598,0.9999414384044389,1.0,0.6956293364604831,0.8791933788119571,0.7533310002200799
1.9849247,6.134659e-08,0.00031307663,7.098188e-05,0.0046292334,0.0066224085,2.178984,0.39698494,0.9999436001038273,1.0,0.7007720121176496,0.8805770729732514,0.7568727623459579
2.0100503,6.080542e-08,0.00031299604,7.098394e-05,0.0046295957,0.006622701,2.1789649,0.40201006,0.999945659475827,1.0,0.7058047493403815,0.8819452836573036,0.7603904717578999
2.0351758,6.028955e-08,0.00031291493,7.098594e-05,0.0046299538,0.00662299,2.1789458,0.40703516000000006,0.9999476225710344,1.0,0.7106909019837677,0.8832976332183291,0.7638660889204694
2.0603015,5.9797436e-08,0.0003128335,7.098792e-05,0.004630308,0.0066232774,2.178927,0.4120603,0.9999494952649978,1.0,0.7155281931007496,0.8846352545936824,0.7673224639119005
2.085427,5.9327608e-08,0.00031275168,7.098984e-05,0.0046306592,0.006623563,2.1789083,0.41708540000000005,0.9999512831516653,1.0,0.7202188996384188,0.885961546595447,0.7707571914607997
2.1105528,5.8878822e-08,0.00031266955,7.099173e-05,0.004631007,0.006623845,2.1788898,0.42211055999999997,0.9999529909649628,1.0,0.7248363138864319,0.887274998640477,0.7741486241246243
2.1356783,5.8449807e-08,0.00031258722,7.099357e-05,0.004631352,0.006624126,2.1788714,0.42713566,0.9999546235415623,1.0,0.7293315743183842,0.8885778766034846,0.7775280304314913
2.160804,5.803947e-08,0.00031250462,7.0995375e-05,0.004631694,0.006624404,2.1788533,0.4321608,0.9999561850407735,1.0,0.7337413270790545,0.8898694251929002,0.7808713576674648
2.1859298,5.7646634e-08,0.0003124219,7.099715e-05,0.0046320325,0.0066246805,2.1788352,0.43718596,0.9999576799415604,1.0,0.7380777875500685,0.8911477561797964,0.784196645367981
2.2110553,5.7270437e-08,0.0003123391,7.099889e-05,0.0046323687,0.0066249548,2.178817,0.44221106,0.9999591115241834,1.0,0.7423287403498333,0.8924174013136044,0.7874954750831884
2.236181,5.6909826e-08,0.00031225622,7.100059e-05,0.0046327026,0.006625227,2.1787992,0.44723620000000003,0.9999604837957362,1.0,0.7464819700967563,0.8936783605943244,0.7907690494487681
2.2613065,5.656432e-08,0.00031217327,7.1002265e-05,0.0046330346,0.0066254977,2.1787815,0.4522613,0.999961798586619,1.0,0.7505741229355827,0.8949321446051024,0.7940245842789011
2.2864323,5.6232608e-08,0.0003120904,7.100391e-05,0.0046333624,0.006625766,2.1787639,0.45728646,0.9999630608857205,1.0,0.754592983484786,0.8961700674928569,0.7972512558523212
2.3115578,5.5914242e-08,0.00031200756,7.100551e-05,0.0046336898,0.0066260323,2.1787465,0.46231156,0.9999642723978628,1.0,0.7585019055995215,0.897406479797462,0.8004538747118157
2.3366835,5.56086e-08,0.00031192478,7.100709e-05,0.0046340143,0.0066262977,2.178729,0.4673367,0.9999654354900088,1.0,0.7623619661878195,0.8986319403742633,0.8036456698500442
2.361809,5.5314867e-08,0.00031184204,7.100864e-05,0.004634337,0.00662656,2.178712,0.4723618,0.9999665532635652,1.0,0.7661487344864611,0.8998506033269075,0.806800183281677
2.3869348,5.5032388e-08,0.00031175948,7.1010174e-05,0.004634658,0.0066268216,2.1786947,0.47738696,0.9999676282110734,1.0,0.7698964135639462,0.9010628463011859,0.8099462782634375
2.4120603,5.4760854e-08,0.00031167697,7.101167e-05,0.004634977,0.006627081,2.1786778,0.48241206,0.9999686615084042,1.0,0.7735512557412133,0.9022675363597376,0.8130659152598787
2.437186,5.449944e-08,0.0003115947,7.1013135e-05,0.004635295,0.0066273394,2.1786609,0.4874372,0.9999696562950184,1.0,0.7771303625525121,0.903468449960424,0.8161735258993519
